
1,15,false
2,2,3,5,3,21,15621,2,2,4,5,2,12,3406,break1,15,false
2,2,3,5,3,21,15723,2,2,4,5,2,12,3382,break3,16,false
2,2,3,5,3,21,15476,2,2,4,5,2,12,3406,break3,6,false
2,2,3,5,3,6,4124,2,2,4,5,2,2,-464,break3,19,false
1,1,1,1,1,9,4552,1,1,1,1,1,4,-1308,break2,21,false
1,1,1,1,1,10,5150,1,1,1,1,1,5,-1268,break2,15,false
2,2,2,2,2,14,9595,2,2,2,2,2,6,405,break2,26,true
2,2,2,2,2,26,18226,2,2,2,2,2,12,1754,break3,13,false
2,2,2,2,2,11,7534,1,1,2,2,2,5,340,break3,21,true
2,2,2,2,2,19,13146,1,1,2,2,2,9,946,break3,27,true
2,2,2,2,2,26,18290,1,1,2,2,2,15,3173,break3,33,true
2,2,2,2,2,32,22313,1,1,2,2,2,21,5344,break3,43,true
2,2,2,2,2,43,30432,1,1,2,2,2,30,8430,break3,37,false
2,2,2,2,2,37,26186,2,2,5,4,2,36,12842,break3,29,false
1,1,1,1,1,14,7504,2,2,5,4,2,26,8726,break2,7,false
2,2,2,2,3,7,4921,2,2,5,4,2,4,746,break2,16,true
2,2,2,2,3,21,15867,2,2,5,4,2,12,3414,break2,37,true
2,2,2,2,3,64,50230,2,2,5,4,2,34,11640,break2,51,true
2,2,2,2,3,95,75172,2,2,5,4,2,50,17927,break2,64,true
2,2,2,2,3,123,97657,2,2,5,4,2,70,26879,break3,47,false
3,2,2,4,4,94,75074,1,1,5,5,3,47,17180,break4,9,false
3,2,2,4,4,14,10739,1,1,5,5,3,7,2088,break4,30,false
3,2,2,4,4,58,46211,1,1,5,5,3,29,10368,break4,48,true
3,2,2,4,4,96,76661,1,1,5,5,3,56,22350,break4,51,false
3,2,2,4,4,103,82178,2,1,4,5,3,50,18059,break4,40,false
3,2,2,4,4,80,63795,2,1,4,5,3,40,14656,break
